Nome/Dono;	URL;	Linguagem Primaria;	Numero da Issue;	Titulo da Issue;	Data de Criacao da Issue;	Data de Fechamento da Issue;	Data de Criacao do Repositorio;
mxgmn/WaveFunctionCollapse;	https://github.com/mxgmn/WaveFunctionCollapse;	C#;	22;	3Bricks.bmp is (slightly) corrupt (?);	2016-10-04T15:15:50Z;	2016-10-05T01:15:38Z;	2016-09-30T11:53:17Z;
mxgmn/WaveFunctionCollapse;	https://github.com/mxgmn/WaveFunctionCollapse;	C#;	23;	How can i try 3d mode?;	2016-10-05T14:15:46Z;	2016-10-05T16:34:57Z;	2016-09-30T11:53:17Z;
mxgmn/WaveFunctionCollapse;	https://github.com/mxgmn/WaveFunctionCollapse;	C#;	24;	Unit tests;	2016-10-05T18:28:13Z;	2016-10-05T21:56:14Z;	2016-09-30T11:53:17Z;
dotnet-architecture/eShopOnContainers;	https://github.com/dotnet-architecture/eShopOnContainers;	C#;	1;	Windows Containers (NanoServer) is being tested - work in progress - Issues;	2017-01-06T20:31:24Z;	2017-12-12T17:26:06Z;	2016-10-05T22:35:23Z;
dotnet-architecture/eShopOnContainers;	https://github.com/dotnet-architecture/eShopOnContainers;	C#;	2;	Pending to migrate to .csproj, VS 2017 with Docker, .NET 1.1 and EF 1.1;	2017-01-06T20:36:22Z;	2017-02-16T22:18:06Z;	2016-10-05T22:35:23Z;
dotnet-architecture/eShopOnContainers;	https://github.com/dotnet-architecture/eShopOnContainers;	C#;	3;	Need an Integration Container for easier build and Docker images creation;	2017-01-06T20:41:27Z;	2017-03-08T17:56:11Z;	2016-10-05T22:35:23Z;
dotnet-architecture/eShopOnContainers;	https://github.com/dotnet-architecture/eShopOnContainers;	C#;	4;	Address within the Order entity should be a Value-Object instead of an Entity - Id for EF can be implemented as a shadow state primary key;	2017-01-12T19:36:49Z;	2017-03-09T05:19:09Z;	2016-10-05T22:35:23Z;
dotnet-architecture/eShopOnContainers;	https://github.com/dotnet-architecture/eShopOnContainers;	C#;	5;	Need to add additional Domain Logic to the 'Order' Aggregate-Root;	2017-01-12T23:53:57Z;	2018-04-13T20:59:48Z;	2016-10-05T22:35:23Z;
dotnet-architecture/eShopOnContainers;	https://github.com/dotnet-architecture/eShopOnContainers;	C#;	6;	Review EF Core 1.0 code in the 'Catalog' microservice (Simple data-driven and CRUD microservice)  ;	2017-01-13T00:03:23Z;	2017-02-02T17:30:16Z;	2016-10-05T22:35:23Z;
dotnet-architecture/eShopOnContainers;	https://github.com/dotnet-architecture/eShopOnContainers;	C#;	7;	Minor Pending Refactoring issues in Microservices;	2017-01-13T00:15:01Z;	2017-08-30T18:36:12Z;	2016-10-05T22:35:23Z;
dotnet-architecture/eShopOnContainers;	https://github.com/dotnet-architecture/eShopOnContainers;	C#;	8;	Review EF Core 1.1 code in the 'Ordering' microservice (Domain-Driven Design microservice);	2017-01-13T00:26:17Z;	2017-03-09T05:28:00Z;	2016-10-05T22:35:23Z;
dotnet-architecture/eShopOnContainers;	https://github.com/dotnet-architecture/eShopOnContainers;	C#;	9;	Do not hold the ASP.NET Core Configuration object as Singleton in the IoC container;	2017-01-13T00:46:48Z;	2017-02-16T22:15:55Z;	2016-10-05T22:35:23Z;
dotnet-architecture/eShopOnContainers;	https://github.com/dotnet-architecture/eShopOnContainers;	C#;	10;	Make sure Tracking is disabled in EF Core if it is not needed, like when Querying;	2017-01-13T01:07:40Z;	2017-02-07T04:08:33Z;	2016-10-05T22:35:23Z;
dotnet/roslyn;	https://github.com/dotnet/roslyn;	C#;	3;	Add symbol files(.pdb/source) to NuGet packages;	2015-01-15T00:29:35Z;	2017-11-08T02:30:28Z;	2015-01-11T02:39:03Z;
dotnet/roslyn;	https://github.com/dotnet/roslyn;	C#;	5;	Intellisense Tooltip get too long in case of many generic parameters;	2015-01-15T00:39:21Z;	None;	2015-01-11T02:39:03Z;
dotnet/roslyn;	https://github.com/dotnet/roslyn;	C#;	7;	Feature: Parameter Name Aliasing;	2015-01-15T02:48:13Z;	2015-08-26T18:28:24Z;	2015-01-11T02:39:03Z;
dotnet/roslyn;	https://github.com/dotnet/roslyn;	C#;	8;	Feature request: Async stream generators;	2015-01-15T03:25:29Z;	2015-01-29T01:40:37Z;	2015-01-11T02:39:03Z;
dotnet/roslyn;	https://github.com/dotnet/roslyn;	C#;	9;	SemanticModel.GetArgumentInfo API needed to retrieve the IParameterSymbol that an ArgumentSyntax binds to;	2015-01-15T04:12:56Z;	None;	2015-01-11T02:39:03Z;
dotnet/roslyn;	https://github.com/dotnet/roslyn;	C#;	11;	Unable to compile conditional access expression in context of expression-bodied void method/lambda expression;	2015-01-15T17:23:02Z;	2015-02-23T23:12:23Z;	2015-01-11T02:39:03Z;
dotnet/roslyn;	https://github.com/dotnet/roslyn;	C#;	13;	Feature request: Anonymous types that implement interfaces;	2015-01-16T10:21:12Z;	2016-01-21T00:37:18Z;	2015-01-11T02:39:03Z;
dotnet/roslyn;	https://github.com/dotnet/roslyn;	C#;	14;	Feature request: Implicitly typed lambdas;	2015-01-16T10:30:16Z;	2015-07-12T02:42:08Z;	2015-01-11T02:39:03Z;
dotnet/roslyn;	https://github.com/dotnet/roslyn;	C#;	15;	Feature Request: Recursive Iterators (non-quadratic);	2015-01-16T14:25:53Z;	2017-03-20T19:28:56Z;	2015-01-11T02:39:03Z;
dotnet/roslyn;	https://github.com/dotnet/roslyn;	C#;	16;	Feature Request : Make internals public;	2015-01-16T14:35:28Z;	2015-02-03T20:09:15Z;	2015-01-11T02:39:03Z;
ShareX/ShareX;	https://github.com/ShareX/ShareX;	C#;	1;	Latest ShareX crashes on Startup with CLR20r3 event, source mscorlib?;	2013-11-08T14:18:22Z;	2013-11-12T19:14:29Z;	2013-10-08T23:32:10Z;
ShareX/ShareX;	https://github.com/ShareX/ShareX;	C#;	3;	Unable to select FTP server for image uploading;	2013-11-18T18:07:56Z;	2013-11-20T07:25:16Z;	2013-10-08T23:32:10Z;
ShareX/ShareX;	https://github.com/ShareX/ShareX;	C#;	4;	Image history unavailable;	2013-11-20T23:01:17Z;	2013-11-20T23:43:33Z;	2013-10-08T23:32:10Z;
ShareX/ShareX;	https://github.com/ShareX/ShareX;	C#;	5;	Image History in 8.4;	2013-11-22T17:18:33Z;	2013-11-22T17:19:33Z;	2013-10-08T23:32:10Z;
ShareX/ShareX;	https://github.com/ShareX/ShareX;	C#;	6;	Test Button Click;	2013-11-24T19:03:03Z;	2013-11-24T19:53:57Z;	2013-10-08T23:32:10Z;
ShareX/ShareX;	https://github.com/ShareX/ShareX;	C#;	7;	FTP 'Login is required.';	2013-11-25T16:39:33Z;	2013-11-25T20:30:21Z;	2013-10-08T23:32:10Z;
ShareX/ShareX;	https://github.com/ShareX/ShareX;	C#;	8;	index out of range error on first menu click;	2013-11-25T21:48:12Z;	2013-11-25T23:47:30Z;	2013-10-08T23:32:10Z;
ShareX/ShareX;	https://github.com/ShareX/ShareX;	C#;	9;	System.Resources.MissingManifestResourceException;	2013-11-26T02:41:08Z;	2013-11-26T02:42:25Z;	2013-10-08T23:32:10Z;
ShareX/ShareX;	https://github.com/ShareX/ShareX;	C#;	10;	Clicking 'Screenshots folder...' has no effect;	2013-11-26T02:46:16Z;	2013-11-26T02:47:09Z;	2013-10-08T23:32:10Z;
ShareX/ShareX;	https://github.com/ShareX/ShareX;	C#;	11;	Short URL's (YOURLS);	2013-11-29T17:48:20Z;	2013-12-06T14:17:39Z;	2013-10-08T23:32:10Z;
StackExchange/Dapper;	https://github.com/StackExchange/Dapper;	C#;	8;	Dapper.Contrib Insert Fails;	2011-06-18T19:07:23Z;	2015-06-07T17:13:53Z;	2011-04-14T08:42:59Z;
StackExchange/Dapper;	https://github.com/StackExchange/Dapper;	C#;	11;	DapperContrib.Insert fails for application supplied Key;	2011-07-25T20:08:17Z;	2015-06-07T17:19:09Z;	2011-04-14T08:42:59Z;
StackExchange/Dapper;	https://github.com/StackExchange/Dapper;	C#;	12;	Dapper.Contrib Insert Fails - Format Query ;	2011-08-04T16:15:31Z;	2014-08-05T15:28:19Z;	2011-04-14T08:42:59Z;
StackExchange/Dapper;	https://github.com/StackExchange/Dapper;	C#;	127;	NuGet 1.26 package dll is still marked 1.25;	2014-07-04T06:36:19Z;	2014-07-04T08:19:50Z;	2011-04-14T08:42:59Z;
StackExchange/Dapper;	https://github.com/StackExchange/Dapper;	C#;	129;	Don't override the DbType defined in ITypeHandler.SetValue.;	2014-07-14T06:01:43Z;	2014-07-14T08:44:18Z;	2011-04-14T08:42:59Z;
StackExchange/Dapper;	https://github.com/StackExchange/Dapper;	C#;	130;	Getting System.InvalidCastException with new release;	2014-07-18T16:42:30Z;	2014-08-05T12:09:40Z;	2011-04-14T08:42:59Z;
StackExchange/Dapper;	https://github.com/StackExchange/Dapper;	C#;	133;	SqlMapperExtensions.Update ignores ComputedAttribute;	2014-07-21T07:35:14Z;	2014-08-05T15:14:47Z;	2011-04-14T08:42:59Z;
StackExchange/Dapper;	https://github.com/StackExchange/Dapper;	C#;	136;	NullReferenceException when using custom type handlers for value types;	2014-07-26T01:19:42Z;	2014-08-05T16:11:14Z;	2011-04-14T08:42:59Z;
StackExchange/Dapper;	https://github.com/StackExchange/Dapper;	C#;	138;	Can't build solution without adding reference to System.Xml and F# 4.0.0;	2014-07-28T13:10:54Z;	2015-10-10T01:22:08Z;	2011-04-14T08:42:59Z;
StackExchange/Dapper;	https://github.com/StackExchange/Dapper;	C#;	139;	Async SQL Mapper Extensions for Dapper.Contrib;	2014-08-04T15:54:22Z;	2014-10-11T15:01:39Z;	2011-04-14T08:42:59Z;
thangchung/awesome-dotnet-core;	https://github.com/thangchung/awesome-dotnet-core;	C#;	2;	Suggestions;	2016-07-03T16:13:21Z;	2016-07-04T11:29:04Z;	2016-03-17T03:52:09Z;
thangchung/awesome-dotnet-core;	https://github.com/thangchung/awesome-dotnet-core;	C#;	26;	Micro samples for aspnetcore fundamentals;	2016-09-16T16:24:13Z;	2016-09-22T15:53:27Z;	2016-03-17T03:52:09Z;
thangchung/awesome-dotnet-core;	https://github.com/thangchung/awesome-dotnet-core;	C#;	55;	Additional CMS;	2016-12-08T22:00:45Z;	2016-12-22T14:30:29Z;	2016-03-17T03:52:09Z;
thangchung/awesome-dotnet-core;	https://github.com/thangchung/awesome-dotnet-core;	C#;	56;	AngleSharp should placed under Misc;	2016-12-09T05:44:43Z;	2016-12-13T23:19:50Z;	2016-03-17T03:52:09Z;
thangchung/awesome-dotnet-core;	https://github.com/thangchung/awesome-dotnet-core;	C#;	63;	Have you considered adding the New Bike Sharing application in the example apps;	2017-02-03T14:13:36Z;	2017-02-15T09:36:18Z;	2016-03-17T03:52:09Z;
thangchung/awesome-dotnet-core;	https://github.com/thangchung/awesome-dotnet-core;	C#;	65;	Add AutoComplete to Searching ;	2017-02-06T07:44:49Z;	2017-02-08T10:58:22Z;	2016-03-17T03:52:09Z;
thangchung/awesome-dotnet-core;	https://github.com/thangchung/awesome-dotnet-core;	C#;	84;	Add Squidex;	2017-03-28T18:38:40Z;	2017-03-30T03:56:45Z;	2016-03-17T03:52:09Z;
thangchung/awesome-dotnet-core;	https://github.com/thangchung/awesome-dotnet-core;	C#;	94;	Add Dbeeze;	2017-05-05T12:50:36Z;	2017-06-13T11:22:27Z;	2016-03-17T03:52:09Z;
thangchung/awesome-dotnet-core;	https://github.com/thangchung/awesome-dotnet-core;	C#;	95;	Simple and good tutorial about how to add authorization;	2017-05-10T12:58:36Z;	2017-05-19T06:15:41Z;	2016-03-17T03:52:09Z;
thangchung/awesome-dotnet-core;	https://github.com/thangchung/awesome-dotnet-core;	C#;	96;	Add Avalonia;	2017-05-16T19:38:38Z;	2017-05-30T16:23:14Z;	2016-03-17T03:52:09Z;
NickeManarin/ScreenToGif;	https://github.com/NickeManarin/ScreenToGif;	C#;	1;	Progress bar detail gets lost with quality;	2016-08-06T00:37:51Z;	2017-07-31T01:42:43Z;	2016-08-02T01:28:59Z;
NickeManarin/ScreenToGif;	https://github.com/NickeManarin/ScreenToGif;	C#;	2;	Request: Add full time of video;	2016-08-10T18:06:18Z;	2016-10-17T00:24:31Z;	2016-08-02T01:28:59Z;
NickeManarin/ScreenToGif;	https://github.com/NickeManarin/ScreenToGif;	C#;	3;	yearn to Full Screen;	2016-08-14T02:11:29Z;	2016-10-28T22:47:55Z;	2016-08-02T01:28:59Z;
NickeManarin/ScreenToGif;	https://github.com/NickeManarin/ScreenToGif;	C#;	4;	bugs?;	2016-08-18T16:43:25Z;	2016-08-19T01:42:24Z;	2016-08-02T01:28:59Z;
NickeManarin/ScreenToGif;	https://github.com/NickeManarin/ScreenToGif;	C#;	5;	Temp. files of board recording aren't removed by 'Clear Temp. Folder' + etc;	2016-08-19T04:22:33Z;	2016-09-04T02:50:07Z;	2016-08-02T01:28:59Z;
NickeManarin/ScreenToGif;	https://github.com/NickeManarin/ScreenToGif;	C#;	6;	[Suggestion] Add the ability to make settings portable;	2016-08-24T01:08:53Z;	2016-10-17T00:23:52Z;	2016-08-02T01:28:59Z;
NickeManarin/ScreenToGif;	https://github.com/NickeManarin/ScreenToGif;	C#;	7;	Sound;	2016-09-05T18:25:33Z;	2016-09-12T16:28:12Z;	2016-08-02T01:28:59Z;
NickeManarin/ScreenToGif;	https://github.com/NickeManarin/ScreenToGif;	C#;	8;	Exception on saving to GIF or Video.;	2016-09-14T02:04:50Z;	2016-10-11T23:00:52Z;	2016-08-02T01:28:59Z;
